Initial mixed population size: 1000. Mixed population ratio: (0.5,0.5)
==> Cycle: 218, Population ratio: (0.518,0.482)
==> Cycle: 219, Population ratio: (0.548,0.45199999999999996)
==> Cycle: 220, Population ratio: (0.478,0.522)
==> Cycle: 221, Population ratio: (0.538,0.46199999999999997)
==> Cycle: 222, Population ratio: (0.518,0.482)
==> Cycle: 223, Population ratio: (0.566,0.43400000000000005)
==> Cycle: 224, Population ratio: (0.648,0.352)
==> Cycle: 225, Population ratio: (0.624,0.376)
==> Cycle: 226, Population ratio: (0.548,0.45199999999999996)
==> Cycle: 227, Population ratio: (0.546,0.45399999999999996)
==> Cycle: 228, Population ratio: (0.646,0.354)
==> Cycle: 229, Population ratio: (0.636,0.364)
==> Cycle: 230, Population ratio: (0.668,0.33199999999999996)
==> Cycle: 231, Population ratio: (0.624,0.376)
==> Cycle: 232, Population ratio: (0.64,0.36)
==> Cycle: 233, Population ratio: (0.606,0.394)
==> Cycle: 234, Population ratio: (0.59,0.41000000000000003)
==> Cycle: 235, Population ratio: (0.594,0.406)
==> Cycle: 236, Population ratio: (0.682,0.31799999999999995)
==> Cycle: 237, Population ratio: (0.654,0.346)
==> Cycle: 238, Population ratio: (0.588,0.41200000000000003)
==> Cycle: 239, Population ratio: (0.698,0.30200000000000005)
==> Cycle: 240, Population ratio: (0.722,0.278)
==> Cycle: 241, Population ratio: (0.7,0.30000000000000004)
==> Cycle: 242, Population ratio: (0.81,0.18999999999999995)
==> Cycle: 243, Population ratio: (0.782,0.21799999999999997)
==> Cycle: 244, Population ratio: (0.81,0.18999999999999995)
==> Cycle: 245, Population ratio: (0.824,0.17600000000000005)
==> Cycle: 246, Population ratio: (0.786,0.21399999999999997)
==> Cycle: 247, Population ratio: (0.78,0.21999999999999997)
==> Cycle: 248, Population ratio: (0.79,0.20999999999999996)
==> Cycle: 249, Population ratio: (0.802,0.19799999999999995)
==> Cycle: 250, Population ratio: (0.788,0.21199999999999997)
==> Cycle: 251, Population ratio: (0.848,0.15200000000000002)
==> Cycle: 252, Population ratio: (0.812,0.18799999999999994)
==> Cycle: 253, Population ratio: (0.814,0.18600000000000005)
==> Cycle: 254, Population ratio: (0.804,0.19599999999999995)
==> Cycle: 255, Population ratio: (0.734,0.266)
==> Cycle: 256, Population ratio: (0.772,0.22799999999999998)
==> Cycle: 257, Population ratio: (0.84,0.16000000000000003)
==> Cycle: 258, Population ratio: (0.83,0.17000000000000004)
==> Cycle: 259, Population ratio: (0.846,0.15400000000000003)
==> Cycle: 260, Population ratio: (0.852,0.14800000000000002)
==> Cycle: 261, Population ratio: (0.848,0.15200000000000002)
==> Cycle: 262, Population ratio: (0.87,0.13)
==> Cycle: 263, Population ratio: (0.87,0.13)
==> Cycle: 264, Population ratio: (0.872,0.128)
==> Cycle: 265, Population ratio: (0.84,0.16000000000000003)
==> Cycle: 266, Population ratio: (0.828,0.17200000000000004)
==> Cycle: 267, Population ratio: (0.788,0.21199999999999997)
==> Cycle: 268, Population ratio: (0.834,0.16600000000000004)
==> Cycle: 269, Population ratio: (0.864,0.136)
==> Cycle: 270, Population ratio: (0.882,0.118)
==> Cycle: 271, Population ratio: (0.858,0.14200000000000002)
==> Cycle: 272, Population ratio: (0.862,0.138)
==> Cycle: 273, Population ratio: (0.86,0.14)
==> Cycle: 274, Population ratio: (0.844,0.15600000000000003)
==> Cycle: 275, Population ratio: (0.842,0.15800000000000003)
==> Cycle: 276, Population ratio: (0.88,0.12)
==> Cycle: 277, Population ratio: (0.858,0.14200000000000002)
==> Cycle: 278, Population ratio: (0.78,0.21999999999999997)
==> Cycle: 279, Population ratio: (0.796,0.20399999999999996)
==> Cycle: 280, Population ratio: (0.79,0.20999999999999996)
==> Cycle: 281, Population ratio: (0.788,0.21199999999999997)
==> Cycle: 282, Population ratio: (0.752,0.248)
==> Cycle: 283, Population ratio: (0.726,0.274)
==> Cycle: 284, Population ratio: (0.752,0.248)
==> Cycle: 285, Population ratio: (0.748,0.252)
==> Cycle: 286, Population ratio: (0.762,0.238)
==> Cycle: 287, Population ratio: (0.798,0.20199999999999996)
==> Cycle: 288, Population ratio: (0.762,0.238)
==> Cycle: 289, Population ratio: (0.818,0.18200000000000005)
==> Cycle: 290, Population ratio: (0.854,0.14600000000000002)
==> Cycle: 291, Population ratio: (0.886,0.11399999999999999)
==> Cycle: 292, Population ratio: (0.876,0.124)
==> Cycle: 293, Population ratio: (0.816,0.18400000000000005)
==> Cycle: 294, Population ratio: (0.766,0.23399999999999999)
==> Cycle: 295, Population ratio: (0.73,0.27)
==> Cycle: 296, Population ratio: (0.798,0.20199999999999996)
==> Cycle: 297, Population ratio: (0.79,0.20999999999999996)
==> Cycle: 298, Population ratio: (0.718,0.28200000000000003)
==> Cycle: 299, Population ratio: (0.738,0.262)
==> Cycle: 300, Population ratio: (0.778,0.22199999999999998)
==> Cycle: 301, Population ratio: (0.862,0.138)
==> Cycle: 302, Population ratio: (0.872,0.128)
==> Cycle: 303, Population ratio: (0.914,0.08599999999999997)
==> Cycle: 304, Population ratio: (0.918,0.08199999999999996)
==> Cycle: 305, Population ratio: (0.934,0.06599999999999995)
==> Cycle: 306, Population ratio: (0.942,0.05800000000000005)
==> Cycle: 307, Population ratio: (0.992,0.008000000000000007)
==> Cycle: 308, Population ratio: (1.0,0.0)
Resulting Population ratio: (1.0,0.0)
